mkinitcpio-openswap 0.1.0-3
mobile-broadband-provider-info 20190618-2
modemmanager 1.14.2-1
mtpfs 1.1-4
nano 5.1-1
net-tools 1.60.20181103git-2
network-manager-applet 1.18.0-1
networkmanager 1.26.2-1
networkmanager-openconnect 1.2.6-2
networkmanager-openvpn 1.8.12-1
networkmanager-pptp 1.2.9dev+10+gb41b0d0-2
networkmanager-vpnc 1.2.7dev+20+gdca3aea-2
nfs-utils 2.5.1-1
noto-fonts 20190926-4
noto-fonts-cjk 20190409-2
noto-fonts-emoji 20200720-1
npm 6.14.8-1
nss-mdns 0.14.1-3
ntfs-3g 2017.3.23-4
ntp 4.2.8.p15-1
numlockx 1.2-5
nvidia-418xx-utils 418.113-2
okular 20.08.0-1
openbsd-netcat 1.217_2-1
openjdk-src 14.0.2.u12-1
openjdk11-src 11.0.8.u10-1
openjdk8-src 8.u262-1
openresolv 3.11.0-1
openssh 8.3p1-3
os-prober 1.77-1
oxygen 5.19.4-1
oxygen-icons 1:5.73.0-1
p7zip 16.02-6
pacman 5.2.2-2
pam-u2f 1.0.8-3
pamac-cli 9.5.8-1
pamac-gtk 9.5.8-1
pamac-tray-appindicator 9.5.8-1
partitionmanager3 3.3.1-1
patch 2.7.6-8
patchutils 0.3.4-4
pavucontrol 1:4.0-2
pciutils 3.7.0-1
perl 5.32.0-1
perl-file-mimeinfo 0.29-4
phonon-qt5-gstreamer 4.10.0-2
pidgin 2.14.1-3
pidgin-otr 4.0.2-3
pkgconf 1.7.3-1
plantuml 1.2020.15-1
plasma-desktop 5.19.4-1
plasma-nm 5.19.4-1.1
plasma-pa 5.19.4-1
plasma-workspace 5.19.4-1.1
plasma-workspace-wallpapers 5.19.4-1
plasma5-themes-breath 0.4.0-2
playerctl 2.2.1-1
poppler-data 0.4.9-2
powerdevil 5.19.4-1
powerpill 2018.11-3
powertop 2.13-1
print-manager 20.08.0-1
procps-ng 3.3.16-2
proxyman-git r186.1bd3dfc-1
psmisc 23.3-2
pulseaudio-bluetooth 13.0-3
pulseaudio-ctl 1.67-1
pulseaudio-zeroconf 13.0-3
python-pillow 7.2.0-1
python-pip 20.1.1-1
python-pyqt5 5.15.0-3
python-pysmbc 1.0.20-1
python-reportlab 3.5.48-1
qt5-imageformats 5.15.0-1
qt5-virtualkeyboard 5.15.0-1
redis 6.0.6-1
reiserfsprogs 3.6.27-3
rsync 3.2.3-1
ruby 2.7.1-2
ruby-bundler 2.1.4-1
rustup 1.22.1-1
s-nail 14.9.19-1
s3cmd 2.1.0-1
samba 4.12.3-2
sbt 1:1.3.13-1
scala 2.13.3-1
screenfetch 3.9.1-1
scrot 1.4-1
sddm 0.18.1-3
sddm-breath-theme 0.4.0-2
sddm-kcm 5.19.4-1
sed 4.8-1
shadow 4.8.1-3
skanlite 2.2.0-1
snapd-glib 1.54-1
solokeys-udev 20190308-2
spectacle 20.08.0-1
spectre-meltdown-checker 0.43-1
splix 2.0.0-15
sshfs 3.7.0-1
steam-manjaro 1.0.0.64-1
strace 5.8-1
subversion 1.14.0-2
sudo 1.9.2-1
sysfsutils 2.1.0-11
sysstat 12.4.0-1
system-config-printer 1.5.12+33+g23b454ef-1
systemd-fsck-silent 239-1
systemd-kcm 1.2.1-5
systemd-sysvcompat 246.3-2
systemsettings 5.19.4-1
tar 1.32-3
teams 1.3.00.16851-1
terminus-font 4.48-3
tesseract 4.1.1-3
tesseract-data-deu 2:4.0.0-1
tesseract-data-eng 2:4.0.0-1
texinfo 6.7-3
texlive-bibtexextra 2020.55376-1
texlive-core 2020.55416-1
texlive-fontsextra 2020.55407-1
texlive-formatsextra 2020.54498-1
texlive-langextra 2020.55417-1
texlive-latexextra 2020.55418-1
texlive-pictures 2020.55342-1
texlive-science 2020.55390-1
the_silver_searcher 2.2.0-2
thunderbird 68.11.0-1
tig 2.5.1-1
timeshift 20.03.r8.gad3c01c-1
tlp 1.3.1-2
tmux 3.1_b-1
ttf-bitstream-vera 1.10-14
ttf-dejavu 2.37+18+g9b5d1b2f-2
ttf-droid 20121017-8
ttf-inconsolata 1:3.000-2
ttf-indic-otf 0.2-11
ttf-liberation 2.1.1-1
udiskie 2.2.0-2
udisks2 2.9.1-1
unarchiver 1.10.1-10
unzip 6.0-14
usb_modeswitch 2.6.1-1
usbutils 012-2
user-manager 5.19.4-1
util-linux 2.36-2
vagrant 2.2.9-2
vi 1:070224-4
vim 8.2.1490-0.1
virtualbox 6.1.12-3
vlc 3.0.11.1-2
wallpapers-2018 1.2-1
wallpapers-juhraya 1.1-2
wget 1.20.3-3
which 2.21-5
wpa_supplicant 2:2.9-7
x2goclient 4.1.2.2-2
xautolock 2.2-6
xdg-desktop-portal 1.7.2-1
xdg-desktop-portal-kde 5.19.4-1
xdg-user-dirs 0.17-3
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-elographics 1.4.2-2
xf86-input-evdev 2.10.6-2
xf86-input-libinput 0.30.0-1
xf86-input-void 1.4.1-5
xf86-video-intel 1:2.99.917+908+g7181c5a4-1
xfsprogs 5.7.0-3
xorg-fonts-100dpi 1.0.3-7
xorg-fonts-75dpi 1.0.3-7
xorg-server 1.20.8-4
xorg-twm 1.0.11-1
xorg-xbacklight 1.2.3-2
xorg-xinit 1.4.1-2
xorg-xkill 1.0.5-2
xsel 1.2.0.20190821-1
yakuake 20.08.0-1
yarn 1.22.4-1
yay 10.0.4-1
zip 3.0-9
zsh 5.8-1
zsh-syntax-highlighting 0.7.1-1
